fecha,precio
05-2008,66.7933
05-2009,52.99655
05-2010,54.03034
05-2011,58.00799473684211
05-2012,57.750181818181815
05-2013,91.78801304347826
05-2014,87.33713333333333
05-2015,104.96892499999998
05-2016,83.86361500000001
05-2017,91.03332
05-2018,111.76075909090909
05-2019,107.87096956521738
05-2020,113.20853684210526
05-2021,150.966055
05-2022,155.04629473684213
05-2023,145.55135
05-2024,219.7575
06-1976,13.189499999999999
06-1977,17.064213636363636
06-1978,21.5471
06-1979,20.593172727272727
06-1980,18.47081052631579
06-1981,28.086090476190478
06-1982,4.930865
06-1983,5.668759090909091
06-1984,6.106939130434783
06-1985,5.26031
06-1986,9.727515
06-1987,14.317038095238095
06-1988,19.57606363636364
06-1989,20.262058333333332
06-1990,17.092059090909093
06-1991,13.935875
06-1992,12.716380952380952
