date,close,Volume,Open,High,Low
04/23/2018,$129.07 ,117628,$129.36 ,$129.37 ,$128.74 
04/20/2018,$129.23 ,214614,$128.95 ,$129.34 ,$128.80 
04/19/2018,$128.49 ,148156,$128.79 ,$128.79 ,$128.00 
04/18/2018,$129.07 ,199490,$129.47 ,$129.63 ,$129.02 
04/17/2018,$129.34 ,174068,$128.98 ,$129.41 ,$128.51 
04/16/2018,$128.82 ,137222,$129.16 ,$129.34 ,$128.71 
04/13/2018,$128.53 ,89014,$128.85 ,$128.95 ,$128.22 
04/12/18,$128.63 ,134548,$128.58 ,$129.02 ,$128.30 
04/11/18,$127.81 ,154987,$128.01 ,$128.53 ,$127.72 
04/10/18,$128.26 ,314229,$127.98 ,$128.53 ,$127.76 
04/09/18,$126.17 ,233152,$126.25 ,$127.22 ,$125.73 
04/06/18,$125.37 ,420646,$126.12 ,$126.51 ,$124.45 
04/05/18,$127.40 ,437292,$127.34 ,$127.89 ,$126.93 
04/04/18,$127.76 ,396405,$125.97 ,$127.92 ,$125.77 
04/03/18,$128.35 ,233062,$127.11 ,$128.47 ,$126.92 
04/02/18,$126.59 ,260047,$128.95 ,$128.95 ,$125.85 
03/29/2018,$130.37 ,165151,$130.00 ,$130.95 ,$129.08 
03/28/2018,$129.37 ,348488,$128.21 ,$129.74 ,$128.14 
03/27/2018,$128.04 ,347651,$129.48 ,$130.11 ,$127.55 
03/26/2018,$127.31 ,158682,$126.27 ,$127.49 ,$125.25 
03/23/2018,$124.50 ,223176,$126.45 ,$126.72 ,$124.46 
03/22/2018,$127.02 ,177325,$128.31 ,$128.65 ,$126.95 
03/21/2018,$129.28 ,110546,$129.29 ,$130.20 ,$128.87 
03/20/2018,$129.25 ,69080,$128.55 ,$129.39 ,$128.52 
03/19/2018,$127.84 ,179586,$129.16 ,$129.35 ,$127.25 
03/16/2018,$129.91 ,91370,$130.08 ,$130.41 ,$129.90 
03/15/2018,$130.39 ,102429,$130.56 ,$131.00 ,$129.93 
03/14/2018,$130.00 ,116112,$131.21 ,$131.21 ,$129.87 
03/13/2018,$130.00 ,174175,$130.66 ,$131.17 ,$129.67 
03/12/18,$130.34 ,143990,$130.04 ,$131.00 ,$130.04 
03/09/18,$129.70 ,472964,$128.62 ,$130.13 ,$127.86 
03/08/18,$129.56 ,233775,$129.20 ,$129.81 ,$128.73 
03/07/18,$129.82 ,284160,$129.48 ,$130.00 ,$128.41 
03/06/18,$131.34 ,194962,$131.68 ,$131.84 ,$130.74 
03/05/18,$130.98 ,161486,$129.30 ,$131.42 ,$128.96 
03/02/18,$130.59 ,214253,$129.17 ,$130.73 ,$128.60 
03/01/18,$130.39 ,444166,$133.48 ,$133.56 ,$129.50 
02/28/2018,$134.60 ,133307,$136.17 ,$136.22 ,$134.57 
02/27/2018,$136.03 ,150789,$137.73 ,$137.95 ,$136.02 
02/26/2018,$138.43 ,125592,$137.37 ,$138.56 ,$137.06 
02/23/2018,$137.03 ,101926,$136.07 ,$137.08 ,$135.73 
02/22/2018,$135.23 ,148058,$135.62 ,$136.19 ,$134.95 
02/21/2018,$134.80 ,144280,$135.82 ,$136.51 ,$134.80 
02/20/2018,$135.85 ,128840,$135.70 ,$136.59 ,$135.40 
02/16/2018,$136.20 ,158687,$135.93 ,$136.76 ,$135.90 
02/15/2018,$135.28 ,218497,$135.00 ,$135.33 ,$134.13 
02/14/2018,$135.47 ,262617,$132.74 ,$135.58 ,$132.16 
02/13/2018,$135.04 ,300092,$134.10 ,$135.29 ,$133.80 
02/12/18,$138.76 ,253104,$137.76 ,$139.14 ,$136.79 
02/09/18,$136.57 ,433050,$137.16 ,$137.64 ,$133.03 
02/08/18,$134.43 ,387676,$138.20 ,$138.29 ,$134.41 
02/07/18,$136.88 ,217796,$137.34 ,$138.78 ,$136.85 
02/06/18,$138.76 ,513279,$134.35 ,$139.48 ,$133.25 
02/05/18,$131.93 ,313844,$135.50 ,$136.11 ,$131.31 
02/02/18,$136.62 ,253189,$138.90 ,$138.99 ,$136.59 
02/01/18,$138.80 ,169638,$138.24 ,$139.25 ,$138.22 
01/31/2018,$137.92 ,224578,$138.45 ,$138.52 ,$137.15 
01/30/2018,$139.62 ,217189,$139.98 ,$140.27 ,$139.25 
01/29/2018,$139.53 ,249255,$139.95 ,$140.46 ,$139.46 
01/26/2018,$139.56 ,319295,$139.35 ,$139.74 ,$138.90 
01/25/2018,$138.18 ,270925,$139.44 ,$139.44 ,$137.71 
01/24/2018,$139.03 ,236838,$139.51 ,$139.65 ,$138.50 
01/23/2018,$139.28 ,164831,$139.63 ,$139.63 ,$138.95 
01/22/2018,$139.40 ,249811,$138.97 ,$139.40 ,$138.68 
01/19/2018,$139.85 ,170634,$139.89 ,$140.31 ,$139.36 
01/18/2018,$138.63 ,173377,$139.27 ,$139.31 ,$138.41 
01/17/2018,$140.72 ,394697,$140.62 ,$140.99 ,$139.65 
01/16/2018,$137.97 ,257889,$139.20 ,$139.50 ,$137.59 
01/12/18,$137.20 ,101568,$136.69 ,$137.20 ,$136.44 
01/11/18,$136.91 ,180325,$136.69 ,$136.91 ,$135.63 
01/10/18,$136.40 ,389510,$136.73 ,$137.29 ,$136.09 
01/09/18,$133.72 ,148087,$133.82 ,$133.83 ,$133.09 
01/08/18,$134.77 ,131264,$133.98 ,$134.79 ,$133.62 
01/05/18,$133.86 ,135309,$133.11 ,$133.87 ,$133.08 
01/04/18,$132.16 ,159798,$131.31 ,$132.16 ,$131.30 
01/03/18,$130.13 ,162249,$128.68 ,$130.24 ,$128.56 
01/02/18,$128.37 ,83545,$127.43 ,$128.43 ,$127.17 
12/29/2017,$127.17 ,122122,$128.44 ,$128.44 ,$127.11 
12/28/2017,$128.27 ,102319,$128.11 ,$128.43 ,$127.52 
12/27/2017,$128.23 ,77854,$127.97 ,$128.30 ,$127.87 
12/26/2017,$127.98 ,48517,$128.00 ,$128.16 ,$127.82 
12/22/2017,$128.32 ,75810,$128.12 ,$128.34 ,$127.74 
12/21/2017,$128.28 ,180859,$128.24 ,$128.44 ,$128.06 
12/20/2017,$127.63 ,103923,$128.00 ,$128.01 ,$127.33 
12/19/2017,$127.01 ,90907,$127.51 ,$127.70 ,$126.80 
12/18/2017,$127.32 ,160949,$126.87 ,$127.44 ,$126.74 
12/15/2017,$124.34 ,127506,$124.23 ,$124.66 ,$124.17 
12/14/2017,$125.00 ,339479,$125.61 ,$125.75 ,$124.91 
12/13/2017,$124.92 ,83173,$124.73 ,$125.26 ,$124.69 
12/12/17,$124.25 ,110142,$123.92 ,$124.52 ,$123.80 
12/11/17,$123.93 ,89722,$124.19 ,$124.19 ,$123.72 
12/08/17,$124.45 ,125092,$124.17 ,$124.50 ,$124.02 
12/07/17,$123.39 ,113595,$123.39 ,$123.58 ,$122.85 
12/06/17,$122.97 ,95709,$123.00 ,$123.28 ,$122.63 
12/05/17,$123.68 ,190269,$124.04 ,$124.84 ,$123.13 
12/04/17,$123.92 ,243396,$124.70 ,$124.96 ,$123.71 
12/01/17,$124.36 ,201265,$125.40 ,$125.59 ,$123.68 
11/30/2017,$126.34 ,110645,$126.40 ,$126.89 ,$126.20 
11/29/2017,$126.55 ,128177,$126.60 ,$127.10 ,$126.07 
11/28/2017,$126.96 ,101001,$126.51 ,$126.96 ,$126.32 
11/27/2017,$125.98 ,104773,$126.21 ,$126.40 ,$125.87 
11/24/2017,$126.05 ,57675,$126.29 ,$126.40 ,$125.86 
11/22/2017,$126.08 ,115178,$126.30 ,$126.62 ,$125.80 
11/21/2017,$125.78 ,163458,$125.20 ,$125.92 ,$125.06 
11/20/2017,$124.29 ,108024,$123.85 ,$124.54 ,$123.85 
11/17/2017,$123.29 ,212584,$123.32 ,$123.65 ,$123.08 
11/16/2017,$124.37 ,140290,$123.98 ,$124.68 ,$123.84 
11/15/2017,$123.66 ,106457,$122.95 ,$123.81 ,$122.49 
11/14/2017,$124.87 ,164408,$125.35 ,$125.44 ,$124.72 
11/13/2017,$125.67 ,156441,$124.85 ,$125.76 ,$124.80 
11/10/17,$124.49 ,123151,$124.80 ,$124.90 ,$124.41 
11/09/17,$125.46 ,303854,$125.42 ,$125.70 ,$124.63 
11/08/17,$127.98 ,179330,$127.12 ,$128.11 ,$127.05 
11/07/17,$127.46 ,335107,$126.75 ,$127.50 ,$125.59 
11/06/17,$125.63 ,103424,$125.51 ,$125.75 ,$125.34 
11/03/17,$125.62 ,115351,$125.51 ,$125.63 ,$125.02 
11/02/17,$125.31 ,153058,$125.05 ,$125.49 ,$124.94 
11/01/17,$124.43 ,194195,$124.29 ,$124.92 ,$124.18 
10/31/2017,$124.00 ,110407,$123.98 ,$124.14 ,$123.67 
10/30/2017,$124.39 ,113514,$124.25 ,$124.44 ,$124.07 
10/27/2017,$124.23 ,101838,$123.88 ,$124.24 ,$123.67 
10/26/2017,$123.85 ,123088,$123.58 ,$124.09 ,$123.54 
10/25/2017,$122.34 ,176531,$123.24 ,$123.24 ,$122.02 
10/24/2017,$123.88 ,133317,$123.89 ,$124.01 ,$123.60 
10/23/2017,$122.77 ,154423,$123.18 ,$123.29 ,$122.61 
10/20/2017,$123.71 ,111620,$123.41 ,$123.72 ,$123.36 
10/19/2017,$123.07 ,121022,$123.16 ,$123.32 ,$122.77 
10/18/2017,$124.26 ,127456,$123.90 ,$124.32 ,$123.84 
10/17/2017,$123.31 ,107340,$123.32 ,$123.67 ,$123.18 
10/16/2017,$123.42 ,101341,$123.30 ,$123.50 ,$123.01 
10/13/2017,$123.38 ,333822,$123.42 ,$123.56 ,$123.03 
10/12/17,$123.19 ,151153,$123.48 ,$123.68 ,$123.07 
10/11/17,$123.56 ,193846,$123.50 ,$123.84 ,$123.29 
10/10/17,$124.08 ,472370,$123.86 ,$124.18 ,$123.82 
10/09/17,$121.67 ,152000,$121.77 ,$122.12 ,$121.60 
10/06/17,$121.87 ,126741,$121.59 ,$121.89 ,$121.30 
10/05/17,$120.84 ,108006,$120.73 ,$120.90 ,$120.50 
10/04/17,$120.97 ,153754,$120.82 ,$121.31 ,$120.23 
10/03/17,$120.34 ,159858,$119.52 ,$120.36 ,$119.51 
10/02/17,$119.31 ,115415,$118.83 ,$119.45 ,$118.82 
09/29/2017,$119.17 ,122197,$119.37 ,$119.62 ,$119.15 
09/28/2017,$119.60 ,174370,$119.78 ,$120.00 ,$119.44 
09/27/2017,$121.49 ,201017,$121.64 ,$121.80 ,$120.67 
09/26/2017,$121.33 ,179727,$121.64 ,$121.80 ,$121.12 
09/25/2017,$120.97 ,141271,$120.81 ,$121.22 ,$120.57 
09/22/2017,$120.63 ,146146,$120.26 ,$120.74 ,$120.26 
09/21/2017,$120.05 ,111128,$120.26 ,$120.26 ,$119.80 
09/20/2017,$120.37 ,193471,$120.00 ,$120.40 ,$119.83 
09/19/2017,$120.06 ,275550,$119.81 ,$120.23 ,$119.80 
09/18/2017,$117.59 ,113395,$117.82 ,$117.92 ,$117.38 
09/15/2017,$117.69 ,169468,$117.12 ,$117.79 ,$117.12 
09/14/2017,$117.10 ,222178,$116.51 ,$117.36 ,$116.47 
09/13/2017,$116.61 ,112028,$116.35 ,$116.70 ,$116.25 
09/12/17,$116.54 ,179434,$116.37 ,$116.77 ,$116.32 
09/11/17,$116.23 ,185526,$115.94 ,$116.43 ,$115.81 
09/08/17,$114.97 ,220891,$115.00 ,$115.17 ,$114.69 
09/07/17,$114.28 ,264606,$114.52 ,$114.75 ,$113.97 
09/06/17,$113.73 ,182653,$113.96 ,$114.03 ,$113.47 
09/05/17,$113.62 ,228817,$113.36 ,$114.00 ,$113.19 
09/01/17,$113.03 ,288234,$112.74 ,$113.86 ,$112.63 
08/31/2017,$112.98 ,291264,$112.26 ,$113.09 ,$112.22 
08/30/2017,$112.29 ,173306,$112.10 ,$112.31 ,$111.50 
08/29/2017,$112.08 ,116952,$111.53 ,$112.10 ,$111.48 
08/28/2017,$112.27 ,71247,$112.48 ,$112.48 ,$112.05 
08/25/2017,$112.84 ,154367,$112.55 ,$112.99 ,$112.43 
08/24/2017,$112.22 ,153247,$112.23 ,$112.68 ,$112.10 
08/23/2017,$112.85 ,142903,$112.93 ,$113.08 ,$112.68 
08/22/2017,$112.87 ,188609,$112.64 ,$113.00 ,$112.56 
08/21/2017,$112.72 ,167773,$112.40 ,$112.89 ,$112.36 
08/18/2017,$111.73 ,119750,$112.00 ,$112.17 ,$111.52 
08/17/2017,$111.45 ,125970,$112.24 ,$112.24 ,$111.29 
08/16/2017,$112.39 ,162455,$112.36 ,$112.60 ,$112.19 
08/15/2017,$113.28 ,184484,$113.40 ,$113.65 ,$113.28 
08/14/2017,$113.03 ,211052,$112.86 ,$113.38 ,$112.77 
08/11/17,$112.12 ,355285,$112.46 ,$112.67 ,$111.89 
08/10/17,$112.38 ,280835,$113.60 ,$113.78 ,$112.21 
08/09/17,$113.10 ,111954,$113.11 ,$113.29 ,$112.85 
08/08/17,$114.22 ,142989,$114.26 ,$114.49 ,$114.03 
08/07/17,$114.13 ,141275,$113.98 ,$114.16 ,$113.92 
08/04/17,$113.64 ,150429,$113.76 ,$113.80 ,$112.99 
08/03/17,$112.73 ,252951,$112.75 ,$112.88 ,$112.28 
08/02/17,$114.19 ,178401,$113.78 ,$114.19 ,$113.49 
08/01/17,$114.17 ,352612,$114.12 ,$114.38 ,$113.59 
07/31/2017,$112.84 ,141506,$113.00 ,$113.00 ,$112.46 
07/28/2017,$112.26 ,187264,$111.83 ,$112.26 ,$111.81 
07/27/2017,$111.67 ,224649,$111.27 ,$111.98 ,$111.22 
07/26/2017,$110.77 ,157163,$110.36 ,$110.89 ,$110.33 
07/25/2017,$110.13 ,199014,$109.84 ,$110.55 ,$109.75 
07/24/2017,$109.41 ,126955,$109.30 ,$109.45 ,$109.10 
07/21/2017,$109.31 ,177029,$109.47 ,$109.50 ,$109.05 
07/20/2017,$109.84 ,152018,$109.93 ,$110.06 ,$109.51 
07/19/2017,$109.70 ,149223,$109.59 ,$109.85 ,$109.56 
07/18/2017,$110.00 ,184042,$110.20 ,$110.20 ,$109.66 
07/17/2017,$110.33 ,234409,$110.01 ,$110.44 ,$110.01 
07/14/2017,$110.20 ,293522,$110.05 ,$110.68 ,$110.05 
07/13/2017,$109.84 ,199711,$109.50 ,$109.90 ,$109.45 
07/12/17,$109.87 ,312718,$109.62 ,$109.88 ,$109.26 
07/11/17,$108.21 ,482508,$108.10 ,$108.46 ,$107.57 
07/10/17,$108.22 ,120695,$108.21 ,$108.48 ,$108.14 
07/07/17,$108.47 ,244383,$108.15 ,$108.61 ,$108.05 
07/06/17,$107.45 ,276675,$108.07 ,$108.10 ,$107.29 
07/05/17,$108.53 ,493178,$108.15 ,$108.78 ,$108.10 
07/03/17,$106.03 ,165739,$105.80 ,$106.34 ,$105.65 
06/30/2017,$105.02 ,169418,$105.03 ,$105.29 ,$104.66 
06/29/2017,$104.34 ,182730,$105.12 ,$105.12 ,$103.84 
06/28/2017,$105.31 ,193633,$104.99 ,$105.35 ,$104.77 
06/27/2017,$104.54 ,218943,$104.98 ,$105.03 ,$104.48 
06/26/2017,$104.98 ,157431,$105.25 ,$105.55 ,$104.97 
06/23/2017,$105.24 ,106361,$105.16 ,$105.28 ,$105.02 
06/22/2017,$105.49 ,229336,$105.38 ,$105.64 ,$105.32 
06/21/2017,$104.56 ,211323,$104.88 ,$104.88 ,$104.45 
06/20/2017,$103.82 ,301230,$104.50 ,$104.55 ,$103.62 
06/19/2017,$104.70 ,232843,$104.60 ,$104.71 ,$104.37 
06/16/2017,$104.90 ,299249,$104.99 ,$104.99 ,$104.59 
06/15/2017,$105.78 ,350653,$105.49 ,$106.05 ,$105.30 
06/14/2017,$106.70 ,149330,$107.13 ,$107.17 ,$106.36 
06/13/2017,$107.41 ,952803,$106.93 ,$107.41 ,$106.70 
06/12/17,$106.45 ,388586,$106.23 ,$106.66 ,$106.11 
06/09/17,$105.74 ,275271,$105.71 ,$106.27 ,$105.35 
06/08/17,$105.78 ,433390,$106.50 ,$106.65 ,$105.51 
06/07/17,$107.53 ,127137,$107.88 ,$107.98 ,$107.40 
06/06/17,$107.80 ,205521,$107.54 ,$108.03 ,$107.53 
06/05/17,$107.76 ,181845,$107.93 ,$108.23 ,$107.50 
06/02/17,$109.37 ,274772,$109.04 ,$109.62 ,$108.87 
06/01/17,$108.40 ,170476,$107.84 ,$108.42 ,$107.74 
05/31/2017,$107.54 ,185531,$107.37 ,$107.71 ,$106.75 
05/30/2017,$107.88 ,193843,$107.20 ,$108.11 ,$107.15 
05/26/2017,$107.10 ,157129,$106.78 ,$107.10 ,$106.60 
05/25/2017,$107.30 ,179819,$107.26 ,$107.54 ,$107.11 
05/24/2017,$107.32 ,152412,$107.50 ,$107.65 ,$106.95 
05/23/2017,$108.08 ,229787,$108.00 ,$108.43 ,$108.00 
05/22/2017,$107.50 ,330670,$107.35 ,$107.96 ,$107.20 
05/19/2017,$107.56 ,177821,$107.10 ,$107.80 ,$107.10 
05/18/2017,$106.77 ,211386,$105.89 ,$107.00 ,$105.84 
05/17/2017,$105.79 ,259002,$106.83 ,$107.35 ,$105.72 
05/16/2017,$106.92 ,276815,$107.10 ,$107.36 ,$106.65 
05/15/2017,$106.41 ,299964,$106.52 ,$106.56 ,$106.10 
05/12/17,$106.46 ,277035,$106.17 ,$106.63 ,$106.17 
05/11/17,$106.84 ,283544,$106.74 ,$106.92 ,$106.31 
05/10/17,$105.81 ,441499,$106.29 ,$106.35 ,$105.69 
05/09/17,$108.46 ,235162,$109.04 ,$109.13 ,$108.36 
05/08/17,$110.19 ,170715,$110.00 ,$110.35 ,$109.99 
05/05/17,$109.91 ,220021,$109.24 ,$109.94 ,$109.13 
05/04/17,$109.16 ,152439,$109.27 ,$109.27 ,$108.44 
05/03/17,$108.87 ,368597,$108.47 ,$109.04 ,$108.32 
05/02/17,$109.24 ,267958,$109.52 ,$109.68 ,$109.07 
05/01/17,$108.30 ,109130,$108.29 ,$108.42 ,$108.09 
04/28/2017,$108.14 ,227026,$108.35 ,$108.59 ,$108.07 
04/27/2017,$109.41 ,213768,$109.80 ,$109.90 ,$109.20 
04/26/2017,$109.91 ,409953,$109.92 ,$110.33 ,$109.80 
04/25/2017,$108.72 ,310685,$108.61 ,$108.94 ,$108.55 
04/24/2017,$106.99 ,257505,$107.19 ,$107.26 ,$106.70 
04/21/2017,$106.58 ,226085,$106.85 ,$107.24 ,$106.46 
04/20/2017,$106.00 ,234554,$105.66 ,$106.16 ,$105.64 
04/19/2017,$104.62 ,214012,$105.00 ,$105.11 ,$104.50 
04/18/2017,$105.32 ,199787,$105.62 ,$105.66 ,$105.08 
04/17/2017,$106.12 ,361938,$105.93 ,$106.21 ,$105.70 
04/13/2017,$104.18 ,346156,$105.13 ,$105.15 ,$104.17 
04/12/17,$105.44 ,311479,$105.99 ,$105.99 ,$105.40 
04/11/17,$106.40 ,419350,$106.77 ,$106.79 ,$106.06 
04/10/17,$105.98 ,379482,$106.11 ,$106.48 ,$105.82 
04/07/17,$105.91 ,233692,$105.76 ,$106.10 ,$105.62 
04/06/17,$105.50 ,392228,$105.68 ,$105.89 ,$105.34 
04/05/17,$106.14 ,533553,$107.03 ,$107.03 ,$106.06 
04/04/17,$108.01 ,336431,$108.06 ,$108.35 ,$107.87 
04/03/17,$108.52 ,258548,$108.62 ,$108.80 ,$107.91 
03/31/2017,$108.62 ,310008,$108.93 ,$108.93 ,$108.41 
03/30/2017,$110.06 ,202811,$110.00 ,$110.30 ,$109.89 
03/29/2017,$110.25 ,390120,$110.26 ,$110.34 ,$110.11 
03/28/2017,$112.41 ,205363,$111.90 ,$112.59 ,$111.79 
03/27/2017,$111.73 ,211665,$111.03 ,$111.96 ,$110.76 
03/24/2017,$111.36 ,161695,$111.11 ,$111.62 ,$110.92 
03/23/2017,$110.51 ,159838,$110.55 ,$111.09 ,$110.32 
03/22/2017,$110.83 ,279319,$110.89 ,$111.00 ,$110.12 
03/21/2017,$111.39 ,383125,$112.69 ,$112.86 ,$111.12 
03/20/2017,$112.00 ,186605,$112.26 ,$112.60 ,$111.94 
03/17/2017,$112.21 ,480458,$112.64 ,$112.74 ,$112.07 
03/16/2017,$113.24 ,109377,$113.71 ,$113.96 ,$113.17 
03/15/2017,$113.24 ,170517,$112.63 ,$113.50 ,$112.54 
03/14/2017,$112.09 ,130639,$112.48 ,$112.60 ,$112.01 
03/13/2017,$113.40 ,233720,$113.37 ,$113.82 ,$113.33 
03/10/17,$112.66 ,287381,$112.84 ,$112.98 ,$112.40 
03/09/17,$112.19 ,150498,$112.11 ,$112.41 ,$111.88 
03/08/17,$111.80 ,180391,$112.55 ,$112.59 ,$111.76 
03/07/17,$112.65 ,171603,$112.69 ,$113.05 ,$112.50 
03/06/17,$112.91 ,161997,$113.14 ,$113.14 ,$112.75 
03/03/17,$113.34 ,125838,$113.27 ,$113.54 ,$113.07 
03/02/17,$113.39 ,252735,$113.59 ,$113.89 ,$113.16 
03/01/17,$114.74 ,240418,$114.82 ,$114.98 ,$114.51 
02/28/2017,$113.15 ,196015,$113.60 ,$113.65 ,$112.99 
02/27/2017,$114.24 ,180607,$113.71 ,$114.27 ,$113.67 
02/24/2017,$113.77 ,179977,$113.90 ,$114.03 ,$113.49 
02/23/2017,$114.59 ,181617,$114.68 ,$114.89 ,$114.38 
02/22/2017,$114.40 ,186951,$114.21 ,$114.45 ,$114.07 
02/21/2017,$114.30 ,269482,$114.08 ,$114.59 ,$113.82 
02/17/2017,$113.70 ,240304,$112.49 ,$113.70 ,$112.34 
02/16/2017,$113.35 ,195963,$113.20 ,$113.61 ,$113.09 
02/15/2017,$113.61 ,189113,$113.72 ,$113.72 ,$113.32 
