date,open,high,low,close,volume
26/11/97,33.4775,34.0036,33.4775,33.9259,66700
28/11/97,34.3742,34.446,34.2248,34.3025,10400
01/12/97,34.6014,34.6731,34.3025,34.6014,14800
02/12/97,34.3742,34.5237,34.3025,34.3025,8400
03/12/97,34.0036,34.0753,33.7764,34.0036,21500
04/12/97,33.7047,33.7047,33.4058,33.4775,4500
05/12/97,33.7764,34.0036,33.7764,33.9259,17300
08/12/97,33.4775,33.7047,33.4058,33.5492,7600
09/12/97,34.1471,34.2248,34.0036,34.1471,48900
10/12/97,34.6014,34.6014,34.1471,34.1471,26800
11/12/97,33.8482,33.9259,33.5492,33.9259,31100
12/12/97,33.627,33.7047,33.4058,33.627,27500
15/12/97,34.0753,34.3025,33.9259,34.2248,13200
16/12/97,33.4058,33.5492,33.2503,33.4058,28000
17/12/97,34.428,34.428,34.0395,34.0395,27700
18/12/97,34.2248,34.2248,33.1069,33.3281,40000
19/12/97,33.1069,33.3281,32.8797,33.1786,20400
22/12/97,32.0547,32.246,31.8335,32.246,43300
23/12/97,32.0966,32.3536,32.0547,32.2819,9700
24/12/97,32.5808,32.808,32.5808,32.5808,1800
26/12/97,33.8482,33.8482,33.627,33.7047,3500
29/12/97,34.3025,34.3025,34.0036,34.2248,5400
30/12/97,34.3025,34.6014,34.3025,34.5237,8800
31/12/97,34.5237,34.6014,34.3025,34.3025,8500
02/01/98,34.0753,34.3742,34.0753,34.3742,81700
05/01/98,32.808,32.808,32.6167,32.6167,18100
06/01/98,32.5808,32.808,32.5808,32.6525,7200
07/01/98,33.4058,33.4058,33.065,33.2503,33600
08/01/98,33.2503,33.2503,32.8797,33.2145,14000
09/01/98,33.2503,33.4416,32.808,32.9514,23200
12/01/98,32.7302,33.2922,32.7302,33.2922,55000
13/01/98,32.9514,33.3639,32.9514,33.3639,4500
14/01/98,34.0036,34.0036,33.627,33.7764,10900
15/01/98,33.9259,33.9259,33.627,33.627,8000
16/01/98,35.1992,35.6416,35.1215,35.1215,26100
20/01/98,35.1215,35.1215,34.8226,35.1215,14000
21/01/98,35.1215,35.1215,34.7449,34.972,5100
22/01/98,33.9259,34.2248,33.8482,33.8482,4200
23/01/98,34.6731,34.7449,34.3025,34.446,8700
26/01/98,34.446,34.8226,34.446,34.5237,9800
27/01/98,34.1471,34.2248,33.8482,34.0753,8200
28/01/98,33.8482,33.89,33.4058,33.89,20600
29/01/98,33.627,34.0753,33.627,33.627,8400
30/01/98,33.627,33.627,33.1786,33.627,14300
02/02/98,33.7764,34.2248,33.5492,34.2248,15300
03/02/98,34.1889,34.1889,33.7764,34.0395,6900
04/02/98,33.7764,33.9259,33.7047,33.8123,13900
05/02/98,34.0753,34.1112,33.7405,34.0753,6000
